,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
3272,7.0,2016.0,91.0,2309007.0,676731.1875,0.14,98675.0,47.6249,-122.36553,,,1.0,5.0,49965.0,118344.0,,118344.0,23.39999962,23.39999962,2309007.25,2309007.25,73.5,73.5,,16.1,2014.0,98119.0
3273,2.0,2016.0,,1371703.0,402023.1875,1.28,40265.0,47.5626,-122.29396000000001,787467.0,7874.669922,1.0,,49966.0,40265.0,,40265.0,53.59999847,56.20000076,2159170.25,2261075.5,127.5,130.1999969,,51.39,2009.0,98108.0
3275,4.0,2016.0,,3719217.0,1090040.125,0.44,58779.0,47.65395,-122.30583999999999,,,1.0,4.0,49968.0,58779.0,,58779.0,85.09999847,,5000717.0,,221.0,,,25.93,1969.0,98195.0
3276,4.0,2016.0,91.0,3424588.0,1003689.188,0.59,176225.0,47.65718,-122.31631999999999,1502107.0,15021.07031,1.0,,49970.0,176225.0,,176225.0,28.0,29.60000038,4926695.0,5209463.5,70.0,73.59999847,,103.65,2011.0,98105.0
3278,4.0,2016.0,19.0,8902529.0,2609182.0,2.62,166991.0,47.655770000000004,-122.3153,7063329.0,70633.28906,1.0,,49979.0,166991.0,,166991.0,95.59999847,99.40000153,15965859.0,16591973.0,211.8000031,215.6999969,,437.2,1953.0,98195.0
3279,4.0,2016.0,16.0,6960904.0,2040124.25,0.54,89392.0,47.65447,-122.31733,,,1.0,,49980.0,89392.0,,89392.0,77.90000153,83.69999695,6960904.5,7483350.0,244.5,262.8999939,,48.53,1970.0,98195.0
3280,4.0,2016.0,69.0,3129824.0,917299.0,0.64,97040.0,47.651759999999996,-122.30756000000001,764318.0,7643.180176000001,1.0,,49983.0,97040.0,,97040.0,40.09999847,42.0,3894142.5,4075094.5,109.5,114.40000149999999,,62.41,2011.0,98195.0
3281,7.0,2016.0,99.0,14213039.0,4165603.5,0.5,427181.0,47.62384,-122.33941000000002,2157998.0,21579.98438,1.0,6.0,49985.0,427181.0,,427181.0,38.29999924,39.40000153,16371039.0,16810854.0,109.8000031,111.90000149999999,,213.7,2014.0,98109.0
3282,7.0,2016.0,94.0,912677.0,267490.4063,0.62,46828.0,47.650209999999994,-122.36504,691053.0,6910.529785,1.0,5.0,49986.0,69451.0,,69451.0,34.20000076,36.90000153,1603730.25,1725944.25,76.69999695,82.09999847,,43.06,2015.0,98119.0
3283,6.0,2016.0,99.0,772160.0,226307.0938,0.61,47711.0,47.67747,-122.32688,443539.0,4435.389647999999,1.0,4.0,49987.0,47711.0,,47711.0,25.5,27.39999962,1215698.75,1306865.25,60.59999847,64.40000153,,28.94,2015.0,98115.0
3284,3.0,2016.0,56.0,2711776.0,794776.125,0.18,70535.0,47.61329,-122.31981,,,1.0,6.0,49988.0,107556.0,,107556.0,38.40000153,42.0,2711776.5,2959096.5,120.6999969,131.6999969,,18.9,2015.0,98122.0
